name,claimed_status,rating,category,reivews,address,street_address,phone_no,website,email,timing,image_link,longitude,latitude,URL,search_key,price
SBS TOKYO 横浜店,এই তালিকাটি ম্যানেজ করুন,৩.৫,বিউটি পার্লার,৬,"জাপান, 〒220-0004 Kanagawa, Yokohama, Nishi Ward, Kitasaiwai, 1 Chome−1−8 エキニア横浜9F
এখানে অবস্থিত: エキニア横浜","FJ8C+XH Yokohama, Kanagawa, জাপান",+81 45-410-0788,sbstokyo.com,,,https://lh5.googleusercontent.com/p/AF1QipPUCkoj_sU5NLK8qA3-lHL8_B6qHArve-Jn9qjW=w408-h306-k-no,35.46741,139.621471,"https://www.google.com/maps/place/SBS+TOKYO+%E6%A8%AA%E6%B5%9C%E5%BA%97/@35.4279154,139.5608811,12z/data=!4m8!1m2!2m1!1z56We5aWI5bedIOaoqua1nCDjgqjjgrnjg4YgVG9reW8gSmFwYW4!3m4!1s0x60185c118e3710ff:0xd3b252e15b1f7508!8m2!3d35.46741!4d139.621471",Tokyo 神奈川 横浜 エステ USA,
ホットスリムスタジオジャパン 関内店 パーソナルジム,এই তালিকাটি ম্যানেজ করুন,৪.৪,বিউটি পার্লার,৬৩,"জাপান, 〒231-0048 Kanagawa, Yokohama, Naka Ward, Horaicho, 1 Chome−1-3 belle関内 7階","CJVP+86 Yokohama, Kanagawa, জাপান",+81 45-315-2430,hotslimstudiojapan.com,"requirejs-bolt@2.3.6, whatwg-fetch@3.0.0, 8b4e078a51d04e0e9efdf470027f0ec1@sentry.wixpress.com, core-js-bundle@3.2.1",,https://lh5.googleusercontent.com/p/AF1QipOMZRvkDniUvHnc4Bt_BBMiPKe6aRgfGH9gl_8Y=w408-h272-k-no,35.4433589,139.6355596,"https://www.google.com/maps/place/%E3%83%9B%E3%83%83%E3%83%88%E3%82%B9%E3%83%AA%E3%83%A0%E3%82%B9%E3%82%BF%E3%82%B8%E3%82%AA%E3%82%B8%E3%83%A3%E3%83%91%E3%83%B3+%E9%96%A2%E5%86%85%E5%BA%97+%E3%83%91%E3%83%BC%E3%82%BD%E3%83%8A%E3%83%AB%E3%82%B8%E3%83%A0/@35.4279154,139.5608811,12z/data=!4m8!1m2!2m1!1z56We5aWI5bedIOaoqua1nCDjgqjjgrnjg4YgVG9reW8gSmFwYW4!3m4!1s0x60185cf17ae40001:0xc858aed35213ed93!8m2!3d35.4433589!4d139.6355596",Tokyo 神奈川 横浜 エステ USA,
Alice TOKYO アリストウキョウ 横浜店,,৩.৩,বিউটি পার্লার,৩,"জাপান, 〒220-0005 Kanagawa, Yokohama, Nishi Ward, Minamisaiwai, 2 Chome−7−12 石辺ビル5階","FJ79+M8 Yokohama, Kanagawa, জাপান",+81 45-620-5518,beauty.hotpepper.jp,,,https://lh5.googleusercontent.com/p/AF1QipM8hB5vVO7j51bm6MYdm9UKS85Il4cR3qpwh8DL=w408-h271-k-no,35.4641586,139.618266,"https://www.google.com/maps/place/Alice+TOKYO+%E3%82%A2%E3%83%AA%E3%82%B9%E3%83%88%E3%82%A6%E3%82%AD%E3%83%A7%E3%82%A6+%E6%A8%AA%E6%B5%9C%E5%BA%97/@35.4279154,139.5608811,12z/data=!4m8!1m2!2m1!1z56We5aWI5bedIOaoqua1nCDjgqjjgrnjg4YgVG9reW8gSmFwYW4!3m4!1s0x60185da3744f5751:0xb7766490179070ac!8m2!3d35.4641586!4d139.618266",Tokyo 神奈川 横浜 エステ USA,
"Kawasaki indian Beauty Parlour, Tokyo, Japan",,৪.৩,বিউটি পার্লার,৩,"Kawasaki Station, Nisshincho, Kawasaki, Kanagawa 210-0024, জাপান
এখানে অবস্থিত: パソコン教室アビバ 川崎ルフロン校","GMGW+W2 Kawasaki, Kanagawa, জাপান",+81 80-4478-9666,sites.google.com,,,https://lh5.googleusercontent.com/p/AF1QipOdUMrA4PKiYia0Oeo4DCQ6CaGmWMEc73UN_5G4=w408-h408-k-no,35.5273116,139.6950983,"https://www.google.com/maps/place/Kawasaki+indian+Beauty+Parlour,+Tokyo,+Japan/@35.5273116,139.6250605,12z/data=!4m8!1m2!2m1!1z56We5aWI5bedIOaoqua1nCDjgqjjgrnjg4YgVG9reW8gSmFwYW4!3m4!1s0x6018612ba54837e1:0xf9e396c72bdd8412!8m2!3d35.5273116!4d139.6950983",Tokyo 神奈川 横浜 エステ USA,
アイラッシュTokyo 横浜サンクチュアリ 横浜西口店,এই তালিকাটি ম্যানেজ করুন,৩.৭,নখ কাটার সেলুন,১৯,"জাপান, 〒220-0004 Kanagawa, Yokohama, Nishi Ward, Kitasaiwai, 1 Chome−2−15 アスカ2ビル 9F","FJ99+5R Yokohama, Kanagawa, জাপান",+81 45-412-3166,eyelash-tokyo.com,minne_600x500@2x.jpg,,https://lh5.googleusercontent.com/p/AF1QipM-HM8hivJrnBVTJEJP_4DcWsPjpMOqxBk9UdzY=w408-h725-k-no,35.4679392,139.6195297,"https://www.google.com/maps/place/%E3%82%A2%E3%82%A4%E3%83%A9%E3%83%83%E3%82%B7%E3%83%A5Tokyo+%E6%A8%AA%E6%B5%9C%E3%82%B5%E3%83%B3%E3%82%AF%E3%83%81%E3%83%A5%E3%82%A2%E3%83%AA+%E6%A8%AA%E6%B5%9C%E8%A5%BF%E5%8F%A3%E5%BA%97/@35.4279154,139.5608811,12z/data=!4m8!1m2!2m1!1z56We5aWI5bedIOaoqua1nCDjgqjjgrnjg4YgVG9reW8gSmFwYW4!3m4!1s0x60185c0e26fbd541:0x319fb8153f0de9a0!8m2!3d35.4679392!4d139.6195297",Tokyo 神奈川 横浜 エステ USA,
NO NAIL TOKYO 横浜店,এই ব্যবসার দাবি করুন,৩.৩,নখ কাটার সেলুন,৮,"2 Chome-21-5 Minamisaiwai, Nishi Ward, Yokohama, Kanagawa 220-0005, জাপান","FJ78+H4 Yokohama, Kanagawa, জাপান",+81 45-314-0213,nonail-tokyo.com,,,https://lh5.googleusercontent.com/p/AF1QipM7PDyZfenvZM1vDcfGGU4Ma__5E0_ZiI0kOFnj=w408-h544-k-no,35.4638785,139.6152756,"https://www.google.com/maps/place/NO+NAIL+TOKYO+%E6%A8%AA%E6%B5%9C%E5%BA%97/@35.4279154,139.5608811,12z/data=!4m8!1m2!2m1!1z56We5aWI5bedIOaoqua1nCDjgqjjgrnjg4YgVG9reW8gSmFwYW4!3m4!1s0x60185c0c11e1cbf1:0x35710e5aa54bc6be!8m2!3d35.4638785!4d139.6152756",Tokyo 神奈川 横浜 エステ USA,
バイオエステBTB 横浜店,এই তালিকাটি ম্যানেজ করুন,৪.৪,দোকান,৫,"জাপান, 〒231-0023 Kanagawa, Yokohama, Naka Ward, Yamashitacho, ２５−14 モナ二ビルディング 401号","CJWW+7J Yokohama, Kanagawa, জাপান",+81 120-781-136,btb.co.jp,,,https://geo2.ggpht.com/cbk?panoid=Od8gALmruoanqVZGXo0C2Q&output=thumbnail&cb_client=search.gws-prod.gps&thumb=2&w=408&h=240&yaw=70.338684&pitch=0&thumbfov=100,35.4457026,139.6465685,"https://www.google.com/maps/place/%E3%83%90%E3%82%A4%E3%82%AA%E3%82%A8%E3%82%B9%E3%83%86BTB+%E6%A8%AA%E6%B5%9C%E5%BA%97/@35.4279154,139.5608811,12z/data=!4m8!1m2!2m1!1z56We5aWI5bedIOaoqua1nCDjgqjjgrnjg4YgVG9reW8gSmFwYW4!3m4!1s0x60185cfcc7eb1921:0x651aed5da58c08f8!8m2!3d35.4457026!4d139.6465685",Tokyo 神奈川 横浜 エステ USA,
ビューティアベニュー ソシエ 横浜ベイホテル東急店,এই তালিকাটি ম্যানেজ করুন,৪.৮,বিউটি পার্লার,৪,"জাপান, 〒220-8543 Kanagawa, Yokohama, Nishi Ward, Minatomirai, 2 Chome−3−7, Yokohama Bay Hotel Tokyu, 4階
এখানে অবস্থিত: Queen's Square Yokohama","FJ4P+Q4 Yokohama, Kanagawa, জাপান",+81 45-682-1136,socie.jp,,,https://lh5.googleusercontent.com/p/AF1QipMDlDMuVb8_MDBtY8Z_4SoqbfW1po7pOqXOBD6u=w470-h240-k-no,35.4569624,139.6352813,"https://www.google.com/maps/place/%E3%83%93%E3%83%A5%E3%83%BC%E3%83%86%E3%82%A3%E3%82%A2%E3%83%99%E3%83%8B%E3%83%A5%E3%83%BC+%E3%82%BD%E3%82%B7%E3%82%A8+%E6%A8%AA%E6%B5%9C%E3%83%99%E3%82%A4%E3%83%9B%E3%83%86%E3%83%AB%E6%9D%B1%E6%80%A5%E5%BA%97/@35.4279154,139.5608811,12z/data=!4m8!1m2!2m1!1z56We5aWI5bedIOaoqua1nCDjgqjjgrnjg4YgVG9reW8gSmFwYW4!3m4!1s0x60185c5b7ddaaa3f:0xecd07a4f68bfd016!8m2!3d35.4569624!4d139.6352813",Tokyo 神奈川 横浜 エステ USA,
エクシーライン横浜店,,৩.৮,বিউটি পার্লার,৪,"জাপান, 〒220-0004 Kanagawa, Yokohama, Nishi Ward, 1, エキニア横浜 5F
এখানে অবস্থিত: エキニア横浜","FJ9C+2H Yokohama, Kanagawa, জাপান",+81 120-080-147,evergrace.jp,,,https://lh5.googleusercontent.com/p/AF1QipNsU6DRPQZ7T_E3jIIpUfkOA4Fk8_uZFdWQbyc7=w426-h240-k-no,35.4676243,139.6213821,"https://www.google.com/maps/place/%E3%82%A8%E3%82%AF%E3%82%B7%E3%83%BC%E3%83%A9%E3%82%A4%E3%83%B3%E6%A8%AA%E6%B5%9C%E5%BA%97/@35.4279154,139.5608811,12z/data=!4m8!1m2!2m1!1z56We5aWI5bedIOaoqua1nCDjgqjjgrnjg4YgVG9reW8gSmFwYW4!3m4!1s0x60185c118e3710ff:0xebaf9820cd55fa75!8m2!3d35.4676243!4d139.6213821",Tokyo 神奈川 横浜 エステ USA,
Takano Yuri BEAUTY CLINIC,এই তালিকাটি ম্যানেজ করুন,৪.৬,বিউটি পার্লার,৭,"জাপান, 〒220-0004 Kanagawa, Yokohama, Nishi Ward, Kitasaiwai, 1 Chome−3−23 横浜ベイシェラトンホテル＆タワーズ７Ｆ
এখানে অবস্থিত: Yokohama Bay Sheraton Hotel & Towers","FJ8C+M4 Yokohama, Kanagawa, জাপান",+81 45-313-1107,takanoyuri.com,,,https://lh5.googleusercontent.com/p/AF1QipNHBTgyEwh2cq5-Bo7-brTRTtJPgOcDLWUBjclK=w408-h272-k-no,35.4667352,139.6202866,"https://www.google.com/maps/place/Takano+Yuri+BEAUTY+CLINIC/@35.4279154,139.5608811,12z/data=!3m1!5s0x60185c11f8f8bac9:0xa230d50a207e9334!4m8!1m2!2m1!1z56We5aWI5bedIOaoqua1nCDjgqjjgrnjg4YgVG9reW8gSmFwYW4!3m4!1s0x60185c11f91df09f:0x2aad64d8ceafc4c2!8m2!3d35.4667352!4d139.6202866",Tokyo 神奈川 横浜 エステ USA,
